Old_PBDB_name,New_PBDB_name,MOM_name,notes,decision
Alcelaphus lichtensteini,Alcelaphus lichtensteinii,Alcelaphus lichtensteini,,
Alouatta palliata,Alouatta palliatus,Alouatta palliata,,
Aonyx capensis,Lutra capensis,Aonyx capensis,,
Apodemus sylvaticus,Mus sylvaticus,Apodemus sylvaticus,,
Babyrousa babyrussa,Sus babyrussa,Babyrousa babyrussa,,
Bison bison,Bos bison,Bison bison,,
Brachylagus idahoensis,Sylvilagus idahoensis,Brachylagus idahoensis,,
Callithrix pygmaea,Cebuella pygmaea,Callithrix pygmaea,,
Camelops huerfanensis,Camelops hesternus,Camelops huerfanensis,TWO OF THEM! SO SAME AGE? OR IGNORE?,ignore both
Canis adustus,Schaeffia adusta,Canis adustus,,
Canis dirus,Aenocyon dirus,Canis dirus,,
Canis mesomelas,Lupulella mesomelas,Canis mesomelas,,
Capromeryx minor,Breameryx minor,Capromeryx minor,,
Cebus apella,Sapajus apella,Cebus apella,,
Elephas maximus indicus,Elephas maximus,Elephas maximus,,ignore
Equus curvidens,Equus caballus,Equus caballus,,ignore
Equus midlandensis,Equus mexicanus,Equus mexicanus,,
Equus pacificus,Equus mexicanus,Equus mexicanus,,
Equus scotti,Equus mexicanus,Equus scotti,TWO OF THEM! SO SAME AGE? OR IGNORE?,ignore both
Gazella rufifrons,Eudorcas rufifrons,Eudorcas rufifrons,,ignore
Gazella thomsoni,Eudorcas thomsonii,Eudorcas thomsonii,,ignore
Glyptotherium floridanum,Glyptotherium cylindricum,Glyptotherium floridanum,TWO OF THEM! SO SAME AGE? OR IGNORE?,ignore both
Glyptotherium mexicanum,Glyptotherium cylindricum,Glyptotherium mexicanum,TWO OF THEM! SO SAME AGE? OR IGNORE?,ignore both
Homotherium serum,Homotherium latidens,Homotherium serum,TWO OF THEM! SO SAME AGE? OR IGNORE?,ignore both
Lutra maculicollis,Hydrictis maculicollis,Hydrictis maculicollis,,ignore
Manis (Smutsia) gigantea,Smutsia gigantea,Manis gigantea,,
Mustela americana,Martes americana,Martes americana,,ignore
Mustela frenata,Neogale frenata,Mustela frenata,,
Gazella (Nanger) dama,Nanger dama,Nanger dama,,ignore
Gazella granti,Nanger granti,Nanger granti,,ignore
Gazella (Nanger) soemmerringi,Nanger soemmerringii,Nanger soemmerringii,,ignore
Navahoceros lascrucensis,Navahoceros fricki,Navahoceros fricki,,ignore
Palaeolama reissi,Palaeolama (Protauchenia) reissi,Palaeolama reissi,,
Pampatherium typum,Pampatherium typus,Pampatherium typum,,
Uncia spelea,Panthera leo,Panthera leo,,ignore
Tayassu tajacu,Pecari tajacu,Pecari tajacu,,ignore
Platygonus cumberlandensis,Platygonus vetus,Platygonus vetus,,ignore
Platygonus intermedius,Platygonus vetus,Platygonus vetus,,ignore
Protocyon orcesi,Protocyon troglodytes,Protocyon orcesi,TWO OF THEM! SO SAME AGE? OR IGNORE?,ignore both
Saguinus fuscicollis,Leontocebus fuscicollis,Saguinus fuscicollis,,
Leontopithecus midas,Saguinus midas,Saguinus midas,,ignore
Sorex hoyi,Microsorex hoyi,Sorex hoyi,,
Spermophilus beecheyi,Otospermophilus beecheyi,Spermophilus beecheyi,,
Spermophilus elegans,Urocitellus elegans,Spermophilus elegans,,
Spermophilus franklinii,Poliocitellus franklinii,Spermophilus franklinii,,
Spermophilus lateralis,Callospermophilus lateralis,Spermophilus lateralis,,
Spermophilus parryii,Urocitellus parryii,Spermophilus parryii,,
Spermophilus richardsonii,Urocitellus richardsonii,Spermophilus richardsonii,,
Spermophilus townsendii,Urocitellus townsendii,Spermophilus townsendii,,
Spermophilus variegatus,Otospermophilus variegatus,Spermophilus variegatus,,
Stegomastodon platensis,Notiomastodon platensis,Stegomastodon platensis,,
Stegomastodon waringi,Notiomastodon platensis,Stegomastodon waringi,TWO OF THEM! SO SAME AGE? OR IGNORE?,keep
Tapirus haysii californicus,Tapirus californicus,Tapirus californicus,TWO OF THEM! SO SAME AGE? OR IGNORE?,keep
Alopex lagopus,Vulpes lagopus,Vulpes lagopus,,ignore
Vulpes cascadensis,Vulpes vulpes,Vulpes vulpes,,
Zaglossus hacketti,Murrayglossus hacketti,Zaglossus hacketti,,
Aceratherium alfambrense,,,,
Achaenodon uintensis,,,,
Acoelohyrax coalitus,,,,
Acoelohyrax coarctatus,,,,
Acritoparamys wyomingensis,,,,
Acritophiomys bowni,,,,
Acropithecus rigidus,,,,
Adinotherium ferum,,,,
Adinotherium robustum,,,,
Aegyrcitherium beonensis,,,,
Aelurodon wheelerianus,,,,
Aetiocetus tomitai,,,,
Aframonius diedies,,,,
Agilodocodon scansorius,,,,
Aglaocetus burtinii,,,,
Aglaocetus patulus,,,,
Agriochoerus minimus,,,,
Agriotherium schneideri,,,,
Aletridelphys clemensi,,,,
Aletridelphys florencae,,,,
Aletridelphys hatcheri,,,,
Allodesmus gracilis,,,,
Allodesmus kelloggi,,,,
Allodesmus megallos,,,,
Allodesmus sadoensis,,,,
Amahuacatherium peruvium,,,,
Amblonyx cinerea,,,,
Amebelodon britti,,,,
Amphimoschus pontileviensis,,,,
Anacodon nexus,,,,
Anchilophus gaudini,,,,
Ancylocoelus minor,,,,
Ankalagon saurognathus,,,,
Ansomys nexodens,,,,
Antecalomys valensis,,,,
Antecalomys vasquezi,,,,
Antepithecus innexus,,,,
Anthracokeryx dawsoni,,,,
Anthracotherium hippoideum,,,,
Anthracotherium pygmaeum,,,,
Anthracotherium silistrense,,,,
Anthracotherium tenuis,,,,
Anthracotherium thailandicus,,,,
Antiacodon mentalis,,,,
Apatemys uintensis,,,,
Apodecter stromeri,,,,
Archaeohippus minutalis,,,,
Archaeopithecus fossulatus,,,,
Archaeotherium altidens,,,,
Archaeotherium lemleyi,,,,
Archaeotherium minimus,,,,
Arctocyon mumak,,,,
Ardynia plicidentata,,,,
Argyrohippus boulei,,,,
Argyrolambda conidens,,,,
Artigasia magna,,,,
Asiomomys dawsoni,,,,
Aulophyseter rionegrensis,,,,
Australopithecus boisei,,,,
Australopithecus robustus,,,,
Balaena affinis,,,,
Balaena forsythmajori,,,,
Balaenoptera bertae,,,,
Balaenoptera taiwanica,,,,
Barberenia allenensis,,,,
Barylambda churchilli,,,,
Basilosaurus drazindai,,,,
Basilotritus uheni,,,,
Basilotritus wardii,,,,
Batavipusa neerlandica,,,,
Bomburia priscus,,,,
Borealestes mussetti,,,,
Borealestes serendipitus,,,,
Bothriodon rostratus,,,,
Brachyallodesmus packardi,,,,
Brachycrus buwaldi,,,,
Brachycrus sweetwaterensis,,,,
Brachycrus vaughani,,,,
Brachycrus wilsoni,,,,
Brachyerix incertis,,,,
Brachyzostrodon coupatezi,,,,
Brachyzostrodon maior,,,,
Bridetherium dorisae,,,,
Calodontotherium varietatum,,,,
Cambaytherium bidens,,,,
Cambaytherium minor,,,,
Camelops aransas,,,,
Camelops sulcatus,,,,
Camelops traviswhitei,,,,
Campestrallomys annectens,,,,
Canis anthus,,,,
Canis ferox,,,,
Cariacus laevicornis,,,,
Castor peninsulatus,,,,
Castoroides leiseyorum,,,,
Cephalomys bolivianus,,,,
Cephalomys plexus,,,,
Cephalophus grimmia,,,,
Cerdocyon avius,,,,
Cervus pyrenaicus,,,,
Chalicomomys willwoodensis,,,,
Chamitaxus avitus,,,,
Cherwellia leei,,,,
Chlamyphractus pressulus,,,,
Chleuastochoerus stehlini,,,,
Chlorocebus patas,,,,
Choerodon caninus,,,,
Chriacus simplex,,,,
Citellus bensoni,,,,
Citellus cochisei,,,,
Claenodon montanensis,,,,
Coelosoma eversa,,,,
Colhuelia fruhi,,,,
Copemys mariae,,,,
Coryphodon gosseleti,,,,
Cosoryx cerroensis,,,,
Crusafontina magna,,,,
Crusafontina minima,,,,
Cryptophoca maeotica,,,,
Ctenomys praderii,,,,
Cynorca occidentale,,,,
Cynorca sociale,,,,
Cyrtlatherium canei,,,,
Cyrtodelphis bogatshowi,,,,
Daphoenus socialis,,,,
Darbonetus tuberi,,,,
Delphinodon dividum,,,,
Delphinus attenuata,,,,
Delphinus domeykoi,,,,
Deltatherium absarokae,,,,
Desmatochoerus hesperus,,,,
Desmatotherium intermedius,,,,
Diacocherus meizon,,,,
Diacocherus minutus,,,,
Diacodon celatus,,,,
Diadiaphorus paranensis,,,,
Dibelodon andium,,,,
Dibelodon praecursor,,,,
Dibolia pontica,,,,
Dicerorhinus caucasicus,,,,
Didelphodus altidens,,,,
Didolodus latigonus,,,,
Dilobodon lutarius,,,,
Dinictis cyclops,,,,
Dinnetherium nezorum,,,,
Docodon affinis,,,,
Docodon apoxys,,,,
Docodon crassus,,,,
Docodon striatus,,,,
Docodon superus,,,,
Docodon victor,,,,
Docofossor brachydactylus,,,,
Dryopithecus brancoi,,,,
Dsungarodon zuoi,,,,
Duquettichnus kooli,,,,
Dusicyon culpaeus,,,,
Dusicyon sechurae,,,,
Ectypodus hazeni,,,,
Elephas cypriotes,,,,
Eleutherocercus paranensis,,,,
Eleutherodon oxfordensis,,,,
Elfomys medius,,,,
Ellipsodon lemuroides,,,,
Enhydriodon ekecaman,,,,
Enneoconus parvidens,,,,
Eocardia perforata,,,,
Eohyrax platyodus,,,,
Eomorphippus pascuali,,,,
Eopachyrucos pliciferus,,,,
Eopicure kraglievichi,,,,
Eosclerocalyptus planus,,,,
Eozostrodon parvus,,,,
Epieurycerus truncus,,,,
Eporeodon trigonocephalus,,,,
Equus (Dolichohippus) simplicidens,,,,
Equus idahoensis,,,,
Equus leidyi,,,,
Equus proversus,,,,
Eremotherium elenense,,,,
Ernestokokenia trigonalis,,,,
Eubalaena belgica,,,,
Eucholoeops fronto,,,,
Eucricetodon collatus,,,,
Eudelphinus compressus,,,,
Eudolops hernandezi,,,,
Eumetopias jubata,,,,
Euphractus patagonicus,,,,
Eusmilus sicarius,,,,
Eutomodus elautus,,,,
Eutrachytherus grandis,,,,
Felis lacustris,,,,
Felis libyca,,,,
Felis obscura,,,,
Floridatragulus hesperus,,,,
Forstercooperia ergiliinensis,,,,
Forstercooperia grandis,,,,
Forstercooperia jigniensis,,,,
Forstercooperia minuta,,,,
Geomys minor,,,,
Gliravus bruijni,,,,
Gliravus daamsi,,,,
Gliravus devoogdi,,,,
Gliravus fordi,,,,
Gliravus itardiensis,,,,
Gliravus meridionalis,,,,
Gliravus minor,,,,
Gliravus priscus,,,,
Gliravus robiacensis,,,,
Glyptodon petaliferus,,,,
Glyptotherium arizonae,,,,
Gnathabelodon buckneri,,,,
Gondtherium dattai,,,,
Gondwanadon tapani,,,,
Gryphoca nordica,,,,
Gryphoca similis,,,,
Gujaratia indica,,,,
Halitherium alleni,,,,
Halitherium antillense,,,,
Halitherium taulannense,,,,
Hallautherium schalchi,,,,
Haplomastodon (Aleamastodon) guayasensis,,,,
Haplomastodon chimborazi,,,,
Haplomastodon waringi,,,,
Haqueina haquei,,,,
Haramiyavia clemmenseni,,,,
Heliscomys mcgrewi,,,,
Helvetiodon schutzi,,,,
Hemihegetotherium trilobus,,,,
Hemithlaeus opisthacus,,,,
Hendryomeryx esulcatus,,,,
Henricosbornia waitehor,,,,
Herpestes pulverulentus,,,,
Hesperhys pinensis,,,,
Hesperoceras merlae,,,,
Hesperomys nematodon,,,,
Hesperoscalops blancoensis,,,,
Hesperoscalops rexroadi,,,,
Hesperoscalops sewardensis,,,,
Heterocricetodon schlosseri,,,,
Hexaprotodon pantanellii,,,,
Homalostylops atavus,,,,
Homotherium venezuelensis,,,,
Hondathentes cazador,,,,
Hoplophoneus mentalis,,,,
Hutegotherium yaomingi,,,,
Hyaena abronia,,,,
Hyaenailurus sulzeri,,,,
Hypsiops breviceps,,,,
Hyrachyus douglassi,,,,
Hyracotherium cristatum,,,,
Hyracotherium gabuniai,,,,
Indobune vastanensis,,,,
Indotherium pranhitai,,,,
Inia araguaiaensis,,,,
Irdinolophus mongoliensis,,,,
Isolalutra cretensis,,,,
Isostylops fretus,,,,
Isotypotherium annulatum,,,,
Itatodon tatarinovi,,,,
Kalitherium marinus,,,,
Kermackodon multicuspis,,,,
Kirtlingtonia catenata,,,,
Kotatherium haldanei,,,,
Krusatodon kirtlingtonensis,,,,
Kuehneotherium praecursoris,,,,
Kunmunella kalakotensis,,,,
Kunmunella rajauriensis,,,,
Kunmunella transversa,,,,
Laolestes oweni,,,,
Lemoynea biradicularis,,,,
Lemudeus angustidens,,,,
Leptomeryx elissae,,,,
Leptonychotes weddelli,,,,
Leptophoca amphiatlantica,,,,
Leptophoca lenis,,,,
Leucopleurus acutus,,,,
Libycochoerus khinzikebirus,,,,
Licaphrium mesopotamiense,,,,
Limnenetes anceps,,,,
Limnocyon velox,,,,
Lophialetes yunnanensis,,,,
Lophiodon filholi,,,,
Lophocetus pappus,,,,
Loxodonta creutzburgi,,,,
Lufengpithecus chiangmuanensis,,,,
Lutra trinacriae,,,,
Machairodus kabir,,,,
Macrochirifer brachyspondylus,,,,
Mammut raki,,,,
Marmota vetus,,,,
Martes (Tomictis) gazini,,,,
Martes campestris,,,,
Martes kinseyi,,,,
Mastodon bumiajuensis,,,,
Mastodon proavus,,,,
Maximucinus murheadae,,,,
Maxschlosseria consumata,,,,
Maxschlosseria expansa,,,,
Maxschlosseria minima,,,,
Maxschlosseria minuta,,,,
Maxschlosseria rusticula,,,,
Maxschlosseria septa,,,,
Megagomphos sinanoensis,,,,
Megalictis petersoni,,,,
Menodus proutii,,,,
Menops heloceras,,,,
Mentoclaenodon acrogenius,,,,
Merychyus crabilli,,,,
Merychyus novomexicanus,,,,
Merychyus smithi,,,,
Merycochoerus chelydra,,,,
Merycochoerus vantasselensis,,,,
Merycodus prodromus,,,,
Merycoides pariogonus,,,,
Merycoides relictus,,,,
Merycoidodon culbertsoni,,,,
Merycoidodon dunagani,,,,
Mesocetus schweinfurthi,,,,
Mesocnus browni,,,,
Mesodma garfieldensis,,,,
Mesodma primaeva,,,,
Mesonyx ossifragus,,,,
Mesoplodon longirostris,,,,
Mesoplodon tumidirostris,,,,
Mesoreodon longiceps,,,,
Metasqualodon harwoodi,,,,
Metkatius kashmiriensis,,,,
Miacis australis,,,,
Miacis cognitus,,,,
Miacis medius,,,,
Microcnus gliriformis,,,,
Microlestes rhaeticus,,,,
Micromomys antelucanus,,,,
Micromomys fremdi,,,,
Micromomys vossae,,,,
Micromys kozaniensis,,,,
Microtragulus rusconii,,,,
Millsodon superstes,,,,
Mimetodon douglassi,,,,
Mimotricentes ischyrus,,,,
Miocnus antillensis,,,,
Miolabis princetonianus,,,,
Miophoca vetusta,,,,
Mirabella tuberosa,,,,
Mirandabradys socorrensis,,,,
Mirandabradys urumaquensis,,,,
Mirandabradys zabasi,,,,
Mizuhoptera fujinensis,,,,
Mizuhoptera kanayaensis,,,,
Monachopsis pontica,,,,
Monotherium gaudini,,,,
Morawanocetus yabukii,,,,
Mustela eversmannii,,,,
Mustela reliquus,,,,
Mustela vison,,,,
Mustelictis robustus,,,,
Myanmarius chitseini,,,,
Mylohyus obtusidens,,,,
Myocastor perditus,,,,
Myotis leibi,,,,
Myxomygale minor,,,,
Myxomygale vauclusensis,,,,
Nannippus minor,,,,
Nannippus niobrarensis,,,,
Nannopithex quaylei,,,,
Nanodelphys hunti,,,,
Neoepiblema ambrosettianus,,,,
Neoliotomus ultimus,,,,
Neotragocerus lindgreni,,,,
Nesodon marmoratus,,,,
Neurotrichus columbianus,,,,
Nimravus sectator,,,,
Nothropus nordenskioldi,,,,
Nothrotheriops texanus,,,,
Notictis ortizi,,,,
Notopithecus amplidens,,,,
Notostylops aspectans,,,,
Notostylops brachycephalus,,,,
Oldfieldthomasia transversa,,,,
Oligotheriomys senrudi,,,,
Orca paleorca,,,,
Oreonetes anceps douglassi,,,,
Orientolophus hengdongensis,,,,
Orthogeniops ameghinoi,,,,
Ortholophodon prolongus,,,,
Ortotherium brevirostrum,,,,
Orycteropus africanus,,,,
Oxyacodon archibaldi,,,,
Paceyodon davidi,,,,
Pachycynodon tedfordi,,,,
Pachynodon modicus,,,,
Pachyodon mirabilis,,,,
Pachyphoca chapskii,,,,
Pachyphoca ukrainica,,,,
Paenemarmota nevadensis,,,,
Paikasigudodon yadagirii,,,,
Palaeictops multicuspis,,,,
Palaeolama aequatorialis,,,,
Palaeolama crequii,,,,
Palaeosyops borealis,,,,
Palaeothentes chubutensis,,,,
Palaeothentes lucina,,,,
Palaeothentes praecursor,,,,
Palaeotoxodon paranensis,,,,
Palaeotoxodon protoburmeisteri,,,,
Palaeotoxodon virgatus,,,,
Palaeotragus primaevus,,,,
Palmidophoca callirhoe,,,,
Pantolestes longieundus,,,,
Pantostylops typus,,,,
Paracetus mediatlanticus,,,,
Paracimexomys judithae,,,,
Paracosoryx loxocerus,,,,
Paracricetodon kavakderensis,,,,
Paracricetodon kodjayarmensis,,,,
Paradjidaumo trilophus,,,,
Paramys relictus,,,,
Parasminthus parvulus,,,,
Parectypodus clemensi,,,,
Parictis dakotensis,,,,
Paritatodon kermacki,,,,
Patriomanis americanus,,,,
Peraiocynodon inexpectatus,,,,
Peraiocynodon major,,,,
Peratherium africanum,,,,
Peratherium fugax,,,,
Peratherium marsupium,,,,
Peridyromys occitanus,,,,
Perimys impactus,,,,
Perimys perpinguis,,,,
Peripantostylops orehor,,,,
Periphragnis cristatus,,,,
Peroryctes tedfordi,,,,
Perumys gyulavarii,,,,
Phanophilus dorsatus,,,,
Phenacolemur fuscus,,,,
Phenacolemur mcgrewi,,,,
Phenacolemur shifrae,,,,
Phoberomys insolita,,,,
Phoberomys lozanoi,,,,
Phoberomys minima,,,,
Phoberomys praecursor,,,,
Phoca (Phoca) moori,,,,
Phocanella pumila,,,,
Physodon lorteti,,,,
Physotherium sotterii,,,,
Piscolithax aenigmaticus,,,,
Plagiolophus vitiensis,,,,
Platychoerops georgei,,,,
Platygonus bicalcaratus,,,,
Platygonus narinoensis,,,,
Platygonus pollenae,,,,
Platyosphys einori,,,,
Platyosphys paulsonii,,,,
Platyphoca danica,,,,
Platyphoca vulgaris,,,,
Plesiaceratherium mirallesi,,,,
Plesictis mayri,,,,
Plesiesthonyx munieri,,,,
Plesiocetopsis notopelagicus,,,,
Plesiocetus dyticus,,,,
Plesiocetus gervaisii,,,,
Plesiolestes wilsoni,,,,
Plesiosminthus lajeensis,,,,
Plesiotypotherium majus,,,,
Pliohippus fairbanksi,,,,
Pliohippus spectans,,,,
Pliometanastes galushai,,,,
Poebrotherium franki,,,,
Pogonodon brachyops,,,,
Pogonodon eileenae,,,,
Polydolops kamektsen,,,,
Polydolops rothi,,,,
Polydolops winecage,,,,
Pontophoca jutlandica,,,,
Pontophoca sarmatica,,,,
Pontophoca simionescui,,,,
Pontoporia blainvillii,,,,
Praeanthropus africanus,,,,
Praephoca bendullensis,,,,
Praepusa boeska,,,,
Praepusa magyaricus,,,,
Praepusa vindobonensis,,,,
Priscileo pitikantensis,,,,
Priscodelphinus acutidens,,,,
Proconsul heseloni,,,,
Proconsul nyanzae,,,,
Prodiacodon puercensis,,,,
Prolagostomus divisus,,,,
Prolagostomus profluens,,,,
Prolicaphrium sanalfonensis,,,,
Promegatherium smaltatus,,,,
Promioclaenus siurenensis,,,,
Pronothrotherium figueirasi,,,,
Propachynolophus hengyangensis,,,,
Propachyrucos ameghinorum,,,,
Prophoca proxima,,,,
Propithecia neuquenensis,,,,
Propterodon pishigouensis,,,,
Prosciurus albiclivus,,,,
Prosciurus daxnerae,,,,
Prosotherium triangulidens,,,,
Prosqualodon hamiltoni,,,,
Prosthennops niobrarensis,,,,
Prosthennops xiphodonticus,,,,
Protacaremys pulchellus,,,,
Proterotherium gradatum,,,,
Prothoatherium lacerum,,,,
Protitan robustus,,,,
Protohippus lenticularis,,,,
Protoreodon pearcei,,,,
Prototomus viverrinus,,,,
Protypotherium attenuatum,,,,
Prozaedius proximus,,,,
Pseudaelurus lorteti,,,,
Pseudaelurus turnauensis,,,,
Pseudoeuryurus lelongianus,,,,
Pseudoprepotherium confusum,,,,
Pseudoprotoceras semicinctus,,,,
Pseudotrimylus compressus,,,,
Pseudotrimylus dakotensis,,,,
Pteronarctos piersoni,,,,
Purbeckodon batei,,,,
Ramoceros brevicornis,,,,
Ramoceros marthae,,,,
Raoella dograi,,,,
Rhagomys orthodon,,,,
Sallamys quispea,,,,
Sarmatonectes sintsovi,,,,
Saurocetus gibbesii,,,,
Scenopagus curtidens,,,,
Scenopagus edenensis,,,,
Scenopagus hewettensis,,,,
Scenopagus priscus,,,,
Schizotheriodes parvus,,,,
Schizotherium turgaicum,,,,
Scirrotherium carinatum,,,,
Sciuropterus volans,,,,
Sciurus ballovianus,,,,
Scottimus viduus,,,,
Seudenius cteronc,,,,
Shecenia ctirneru,,,,
Sibirotherium rossicum,,,,
Simia albifrons,,,,
Simpsonodon oxfordensis,,,,
Sinohippus zitteli,,,,
Sivatherium maurusium,,,,
Sparassocynus heterotopicus,,,,
Spermophilus argonautus,,,,
Spermophilus gidleyi,,,,
Spermophilus tephrus,,,,
Sphenotherus paranensis,,,,
Squalodon atlanticus,,,,
Squalodon protervus,,,,
Squalodon tiedemani,,,,
Steneofiber barbouri,,,,
Steneofiber fossor,,,,
Steneofiber gradatus,,,,
Steneofiber hesperus,,,,
Steneofiber schokensis,,,,
Stenodon campbelli,,,,
Storchia biradicata,,,,
Stylidens hookeri,,,,
Submeryceros minor,,,,
Surameryx acrensis,,,,
Sylvochoerus woodburnei,,,,
Talpavus nitidus,,,,
Tapirus olivaresi,,,,
Tashkumyrodon desideratus,,,,
Tataromys suni,,,,
Taubatherium major,,,,
Tegotherium gubini,,,,
Teilhardina americana,,,,
Teilhardina crassidens,,,,
Tetrabelodon osborni,,,,
Theroteinus nikolai,,,,
Thomasia antiqua,,,,
Thomasia hahni,,,,
Thomasia moorei,,,,
Thomasia woutersi,,,,
Tinimomys loomisi,,,,
Todralestes variablis,,,,
Toxodon paranensis,,,,
Toxodontherium compressum,,,,
Trachytherus mendocensis,,,,
Tricorynopus brinkmani,,,,
Tricuspes sigogneauae,,,,
Tricuspes tapeinodon,,,,
Tursiops brocchii,,,,
Tursiops capellinii,,,,
Tursiops osennae,,,,
Typotherium cristatum,,,,
Tyrrhenicola henseli,,,,
Uintacyon edax,,,,
Uintacyon vorax,,,,
Uncia mercerii,,,,
Ursavus elmensis,,,,
Ursus abstrusus,,,,
Waldochoerus bassleri,,,,
Wareolestes rex,,,,
Xenodelphis doelloi,,,,
Xotodon doellojuradi,,,,
Xyophorus bondesioi,,,,
Ysengrinia ginsburgi,,,,
Zeuglodon brachyspondylus,,,,
Zignodelphis miocaenus,,,,
Ziphius (Dolichodon) geelongensis,,,,