"family","order","n.foss.fam","n.foss.na","foss.per","n.phyl.fam","n.phyl.na","phyl.per","avg.size"
"Abrocomidae","Rodentia",0,10,1,10,0,1,219.500666666667
"Acrobatidae","Diprotodontia",1,0,0,1,0,1,12
"Ailuridae","Carnivora",0,1,1,1,0,1,4900
"Anomaluridae","Rodentia",0,7,1,7,0,1,484.140285714286
"Antilocapridae","Artiodactyla",4,1,0.2,4,1,0.8,36816.5842
"Aotidae","Primates",1,7,0.875,7,1,0.875,871.93025
"Aplodontiidae","Rodentia",1,0,0,1,0,1,1003.991
"Atelidae","Primates",6,18,0.75,24,0,1,7073.6796875
"Bathyergidae","Rodentia",3,12,0.8,5,10,0.333333333333333,207.164846153846
"Bovidae","Artiodactyla",58,92,0.613333333333333,127,23,0.846666666666667,130233.223315217
"Bradypodidae","Pilosa",1,2,0.666666666666667,3,0,1,4028.32066666667
"Burramyidae","Diprotodontia",5,0,0,5,0,1,23.1
"Caenolestidae","Paucituberculata",0,6,1,6,0,1,29.98
"Calomyscidae","Rodentia",0,8,1,8,0,1,18.7
"Camelidae","Artiodactyla",10,3,0.230769230769231,6,7,0.461538461538462,454099.267615385
"Canidae","Carnivora",20,22,0.523809523809524,32,10,0.761904761904762,10644.6717166667
"Castoridae","Rodentia",3,1,0.25,3,1,0.75,57703.61875
"Caviidae","Rodentia",8,13,0.619047619047619,16,5,0.761904761904762,19880.6466666667
"Cebidae","Primates",6,50,0.892857142857143,34,22,0.607142857142857,1341.17112121212
"Cercopithecidae","Primates",15,93,0.861111111111111,90,18,0.833333333333333,7672.35979365079
"Cervidae","Artiodactyla",19,34,0.641509433962264,47,6,0.886792452830189,137553.723488889
"Chaeropodidae","Peramelemorphia",0,1,1,1,0,1,200
"Chinchillidae","Rodentia",2,5,0.714285714285714,7,0,1,1834.4185
"Chrysochloridae","Afrosoricida",0,21,1,20,1,0.952380952380952,731.540733333333
"Craseonycteridae","Chiroptera",0,1,1,1,0,1,2.153
"Cricetidae","Rodentia",71,558,0.887122416534181,592,37,0.941176470588235,65.5637737843552
"Ctenodactylidae","Rodentia",0,5,1,5,0,1,204.6
"Ctenomyidae","Rodentia",1,59,0.983333333333333,60,0,1,279.147547619048
"Cuniculidae","Rodentia",1,1,0.5,2,0,1,8499.974
"Cyclopedidae","Pilosa",0,1,1,1,0,1,329.503
"Cynocephalidae","Dermoptera",0,1,1,1,0,1,1000
"Dasypodidae","Cingulata",11,18,0.620689655172414,25,4,0.862068965517241,45045.6873571429
"Dasyproctidae","Rodentia",4,7,0.636363636363636,11,0,1,2660.16545454545
"Dasyuridae","Dasyuromorphia",13,44,0.771929824561403,54,3,0.947368421052632,611.471730769231
"Didelphidae","Didelphimorphia",16,71,0.816091954022989,74,13,0.850574712643678,201.757131147541
"Dinomyidae","Rodentia",0,1,1,1,0,1,12500
"Dipodidae","Rodentia",4,47,0.92156862745098,49,2,0.96078431372549,65.8258787
"Diprotodontidae","Diprotodontia",6,1,0.142857142857143,2,5,0.285714285714286,714285.714285714
"Echimyidae","Rodentia",0,83,1,79,4,0.951807228915663,299.374948529412
"Elephantidae","Proboscidea",5,2,0.285714285714286,5,2,0.714285714285714,7351672.37933333
"Emballonuridae","Chiroptera",1,37,0.973684210526316,38,0,1,21.9109494948485
"Equidae","Perissodactyla",12,13,0.52,8,17,0.32,351362.37875
"Erethizontidae","Rodentia",1,15,0.9375,15,1,0.9375,2257.424
"Erinaceidae","Erinaceomorpha",2,17,0.894736842105263,19,0,1,435.061923076923
"Felidae","Carnivora",23,19,0.452380952380952,34,8,0.80952380952381,53744.0773205128
"Furipteridae","Chiroptera",0,2,1,2,0,1,3.2385
"Galagidae","Primates",1,18,0.947368421052632,8,11,0.421052631578947,369.015181818182
"Geomyidae","Rodentia",11,31,0.738095238095238,36,6,0.857142857142857,272.028564102564
"Giraffidae","Artiodactyla",3,0,0,2,1,0.666666666666667,564997.973
"Gliridae","Rodentia",7,20,0.740740740740741,27,0,1,43.4290826458824
"Glyptodontidae","Cingulata",5,7,0.583333333333333,6,6,0.5,887636.363636364
"Gomphotheriidae","Proboscidea",2,3,0.6,1,4,0.2,5954600
"Herpestidae","Carnivora",8,24,0.75,27,5,0.84375,1728.653
"Heteromyidae","Rodentia",12,47,0.796610169491525,59,0,1,49.7380181818182
"Hippopotamidae","Artiodactyla",1,1,0.5,1,1,0.5,826245.5725
"Hipposideridae","Chiroptera",0,49,1,49,0,1,14.5697833333333
"Hominidae","Primates",0,5,1,5,0,1,69375.2
"Hyaenidae","Carnivora",2,2,0.5,3,1,0.75,37599.37025
"Hylobatidae","Primates",2,10,0.833333333333333,11,1,0.916666666666667,6600.22222222222
"Hypsiprymnodontidae","Diprotodontia",0,1,1,1,0,1,520
"Hystricidae","Rodentia",3,4,0.571428571428571,7,0,1,8475.71771428571
"Leporidae","Lagomorpha",21,36,0.631578947368421,56,1,0.982456140350877,2135.07984444444
"Lorisidae","Primates",0,9,1,8,1,0.888888888888889,641.332166666667
"Macraucheniidae","Litopterna",0,2,1,1,1,0.5,844000
"Macropodidae","Diprotodontia",16,53,0.768115942028985,56,13,0.811594202898551,45923.5793650794
"Macroscelididae","Macroscelidea",0,15,1,14,1,0.933333333333333,151.321285714286
"Mammutidae","Proboscidea",1,0,0,1,0,1,8e+06
"Manidae","Pholidota",0,7,1,3,4,0.428571428571429,8388.754
"Megadermatidae","Chiroptera",0,5,1,5,0,1,49.6982
"Megalonychidae","Pilosa",4,1,0.2,4,1,0.8,221982.0024
"Megatheriidae","Pilosa",3,0,0,3,0,1,4421666.66666667
"Mephitidae","Carnivora",5,5,0.5,10,0,1,1300.975125
"Microbiotheriidae","Microbiotheria",0,1,1,1,0,1,22.3
"Molossidae","Chiroptera",2,74,0.973684210526316,74,2,0.973684210526316,22.4631477272727
"Mormoopidae","Chiroptera",0,5,1,5,0,1,13.5935
"Moschidae","Artiodactyla",1,6,0.857142857142857,7,0,1,12549.475
"Muridae","Rodentia",11,475,0.977366255144033,432,54,0.888888888888889,80.9636932274475
"Mustelidae","Carnivora",22,28,0.56,48,2,0.96,3645.39726841277
"Mylodontidae","Pilosa",4,3,0.428571428571429,5,2,0.714285714285714,1788000
"Myocastoridae","Rodentia",1,0,0,1,0,1,6937.452
"Myrmecobiidae","Dasyuromorphia",0,1,1,1,0,1,471.5
"Myrmecophagidae","Pilosa",2,1,0.333333333333333,3,0,1,10686.0626666667
"Nandiniidae","Carnivora",0,1,1,1,0,1,2000
"Natalidae","Chiroptera",0,1,1,1,0,1,5.7
"Nesomyidae","Rodentia",1,37,0.973684210526316,33,5,0.868421052631579,132.44828
"Noctilionidae","Chiroptera",2,0,0,2,0,1,45.55275
"Nothrotheriidae","Pilosa",1,3,0.75,2,2,0.5,183333.333333333
"Notoryctidae","Notoryctemorphia",0,2,1,2,0,1,44.5
"Nycteridae","Chiroptera",0,11,1,11,0,1,12.3021875
"Ochotonidae","Lagomorpha",2,28,0.933333333333333,30,0,1,157.111692307692
"Octodontidae","Rodentia",1,12,0.923076923076923,12,1,0.923076923076923,144.5503
"Ornithorhynchidae","Monotremata",1,0,0,1,0,1,1484.25
"Orycteropodidae","Tubulidentata",1,0,0,1,0,1,52350.399
"Pedetidae","Rodentia",0,2,1,2,0,1,3155.005
"Peramelidae","Peramelemorphia",5,3,0.375,8,0,1,808.875
"Petauridae","Diprotodontia",2,4,0.666666666666667,6,0,1,305.916666666667
"Petromuridae","Rodentia",0,1,1,1,0,1,224.001
"Phalangeridae","Diprotodontia",1,7,0.875,6,2,0.75,3105
"Phascolarctidae","Dasyuromorphia",2,0,0,1,1,0.5,12125
"Phyllostomidae","Chiroptera",7,133,0.95,126,14,0.9,25.4947524271845
"Pitheciidae","Primates",0,40,1,36,4,0.9,1722.90963636364
"Platacanthomyidae","Rodentia",0,2,1,2,0,1,49.25
"Potoroidae","Diprotodontia",7,5,0.416666666666667,12,0,1,5790
"Procaviidae","Hyracoidea",2,1,0.333333333333333,3,0,1,2943.32866666667
"Procyonidae","Carnivora",6,8,0.571428571428571,14,0,1,2740.69141666667
"Pseudocheiridae","Diprotodontia",2,4,0.666666666666667,6,0,1,1176.8
"Pteropodidae","Chiroptera",0,55,1,53,2,0.963636363636364,178.926212765957
"Ptilocercidae","Scandentia",0,1,1,1,0,1,42.5
"Rhinocerotidae","Perissodactyla",7,1,0.125,8,0,1,1880772.2291875
"Rhinolophidae","Chiroptera",2,58,0.966666666666667,59,1,0.983333333333333,11.6049268292683
"Rhinopomatidae","Chiroptera",0,4,1,4,0,1,17.0763333333333
"Sciuridae","Rodentia",32,195,0.859030837004405,224,3,0.986784140969163,719.912134259259
"Soricidae","Soricomorpha",20,302,0.937888198757764,317,5,0.984472049689441,13.2172612120188
"Spalacidae","Rodentia",0,36,1,21,15,0.583333333333333,456.638470588235
"Stegodontidae","Proboscidea",1,2,0.666666666666667,2,1,0.666666666666667,5417000
"Suidae","Artiodactyla",5,4,0.444444444444444,8,1,0.888888888888889,91396.370875
"Tachyglossidae","Monotremata",3,1,0.25,3,1,0.75,13659.875
"Talpidae","Soricomorpha",9,24,0.727272727272727,33,0,1,90.36412
"Tapiridae","Perissodactyla",3,4,0.571428571428571,6,1,0.857142857142857,277814.266571429
"Tarsiidae","Primates",0,1,1,1,0,1,78
"Tarsipedidae","Diprotodontia",0,1,1,1,0,1,9
"Tayassuidae","Artiodactyla",3,3,0.5,5,1,0.833333333333333,38533.358
"Tenrecidae","Afrosoricida",0,3,1,3,0,1,276.031666666667
"Thryonomyidae","Rodentia",0,2,1,2,0,1,2943.581
"Thylacinidae","Dasyuromorphia",1,0,0,1,0,1,30000
"Thylacoleonidae","Peramelemorphia",1,0,0,1,0,1,115000
"Thylacomyidae","Peramelemorphia",1,1,0.5,2,0,1,852
"Thyropteridae","Chiroptera",1,2,0.666666666666667,3,0,1,3.728
"Toxodontidae","Notoungulata",3,2,0.4,2,3,0.4,1168400
"Tragulidae","Artiodactyla",0,7,1,7,0,1,5625.00175
"Tupaiidae","Scandentia",0,6,1,6,0,1,127.8
"Ursidae","Carnivora",11,4,0.266666666666667,13,2,0.866666666666667,240751.384466667
"Vespertilionidae","Chiroptera",20,310,0.939393939393939,299,31,0.906060606060606,10.7476317073171
"Viverridae","Carnivora",6,27,0.818181818181818,33,0,1,4072.43375862069
"Vombatidae","Diprotodontia",4,5,0.555555555555556,6,3,0.666666666666667,54933.3333333333
